id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
375996166,67032388,99953632,0,14,1,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996166"", ""VALUE"": ""1"", ""TYPEID"": ""14"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375996216,67032388,99953632,0,15,21,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996216"", ""VALUE"": ""21"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
1394601342,67032388,505522414,0,19,1,2023-06-11,2023-06-11,2079-06-06,"{""ID"": ""1394601342"", ""VALUE"": ""1"", ""TYPEID"": ""19"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""505522414"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""2023-06-11"", ""UPDATEDATE"": ""2023-06-11"", ""CHANGEIDEND"": ""0""}"
1440582374,67032388,545029209,0,21,45374000,2023-09-23,2023-09-23,2079-06-06,"{""ID"": ""1440582374"", ""VALUE"": ""45374000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""545029209"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""2023-09-23"", ""UPDATEDATE"": ""2023-09-23"", ""CHANGEIDEND"": ""0""}"
376007122,67036019,99957801,0,1,7704,2017-12-18,1900-01-01,2079-06-06,"{""ID"": ""376007122"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2017-12-18"", ""CHANGEIDEND"": ""0""}"
376008097,67036019,99957801,0,2,7704,2017-12-18,1900-01-01,2079-06-06,"{""ID"": ""376008097"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2017-12-18"", ""CHANGEIDEND"": ""0""}"
376009299,67036019,99957801,0,5,119002,2017-12-18,1900-01-01,2079-06-06,"{""ID"": ""376009299"", ""VALUE"": ""119002"", ""TYPEID"": ""5"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2017-12-18"", ""CHANGEIDEND"": ""0""}"
376009249,67036019,99957801,0,6,45286552000,2017-12-18,1900-01-01,2079-06-06,"{""ID"": ""376009249"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2017-12-18"", ""CHANGEIDEND"": ""0""}"
376009245,67036019,99957801,0,7,45374000,2017-12-18,1900-01-01,2079-06-06,"{""ID"": ""376009245"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2017-12-18"", ""CHANGEIDEND"": ""0""}"
713641249,67036019,182977629,0,8,77:01:0001046:3110,2021-03-17,2021-03-17,2079-06-06,"{""ID"": ""713641249"", ""VALUE"": ""77:01:0001046:3110"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""182977629"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""2021-03-17"", ""UPDATEDATE"": ""2021-03-17"", ""CHANGEIDEND"": ""0""}"
